Food_ID,Food_Name,Quantity,Expiry_Date,Provider_ID,Provider_Type,Location,Food_Type,Meal_Type,Name,Type,Address,City,Contact,Claim_ID,Receiver_ID,Status,Timestamp,Name_Receiver,Type_Receiver,City_Receiver,Contact_Receiver
9,Bread,46,2025-03-25,47,Supermarket,East Andrewland,Non-Vegetarian,Snacks,Wong-Reese,Supermarket,"9078 Jeffrey Drive Suite 439
Lake Jasonberg, RI 48655",East Andrewland,483-625-4097,860.0,345.0,Cancelled,2025-03-05 09:20:00,Eric Ramos,Individual,Rushfurt,515.928.1587x32812
10,Rice,41,2025-03-20,528,Supermarket,Markport,Vegan,Dinner,Baird PLC,Supermarket,"10521 Jared Mill Suite 659
Mccormickhaven, MO 07533",Markport,001-930-122-6265x199,,,,,,,,
11,Pasta,39,2025-03-17,96,Grocery Store,Deborahland,Vegan,Breakfast,"Pierce, Walsh and Rogers",Grocery Store,"8840 Edwards Square Suite 343
Kimside, NE 41307",Deborahland,+1-065-024-5251x529,471.0,337.0,Cancelled,2025-03-21 04:51:00,Jennifer Schmidt,Individual,South Michelleshire,007-561-4094x27296
12,Pasta,15,2025-03-28,899,Catering Service,North Steven,Vegetarian,Lunch,"Jackson, Lee and Hodge",Catering Service,"5326 Christian Trail
Port Hectorstad, NH 21079",North Steven,001-319-954-4598x21954,,,,,,,,
13,Fruits,33,2025-03-22,115,Grocery Store,Floresville,Vegetarian,Snacks,Wells-Davis,Grocery Store,"16029 Lisa Junctions
Port Mary, AZ 64519",Floresville,322.221.0619x89960,899.0,28.0,Pending,2025-03-16 06:18:00,Mary Franklin,Individual,Courtneyfurt,001-046-188-9986x12178
14,Bread,19,2025-03-30,621,Supermarket,Sarahland,Vegetarian,Dinner,Chan Group,Supermarket,"5632 Katie Forks Suite 162
West Markfurt, AR 19503",Sarahland,+1-119-104-8140x852,,,,,,,,
15,Salad,3,2025-03-22,74,Catering Service,Belindaville,Vegetarian,Breakfast,Johnston Ltd,Catering Service,"58406 Pamela Mission
Leestad, OH 88592",Belindaville,5630753213,,,,,,,,
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,101.0,654.0,Cancelled,2025-03-07 02:19:00,John Murray,Shelter,Fernandezberg,001-664-004-0117x5796
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,388.0,418.0,Completed,2025-03-05 01:43:00,Miss Mary Turner,Charity,North Holly,899-330-2450
16,Dairy,6,2025-03-26,862,Grocery Store,East Tammy,Vegan,Snacks,Obrien-Carr,Grocery Store,"7915 Jacob Tunnel Suite 241
New Lisaport, HI 08755",East Tammy,096.381.4881x4011,780.0,194.0,Pending,2025-03-08 13:58:00,Alan Campbell,NGO,Shawmouth,(942)807-0793x71978
17,Chicken,42,2025-03-22,417,Restaurant,East Ashleyshire,Non-Vegetarian,Snacks,"Glover, Wilson and Hudson",Restaurant,"3045 Joshua Fall Suite 109
Khanshire, AL 47705",East Ashleyshire,(315)080-3138,881.0,647.0,Pending,2025-03-12 19:27:00,Christine Davis,Charity,Josephton,144.359.7605
18,Soup,28,2025-03-27,455,Catering Service,Madisonfort,Vegan,Snacks,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,819.0,617.0,Pending,2025-03-06 01:36:00,Justin Lee,Individual,Shelleyburgh,199.646.5303x65771
19,Rice,13,2025-03-30,419,Supermarket,Port Peter,Vegan,Breakfast,"Hanson, Wilkerson and Lee",Supermarket,"948 Evans Green
Lake Carol, GA 38897",Port Peter,759.535.5451,166.0,297.0,Completed,2025-03-03 23:05:00,Deanna Daniels,Individual,Aguilarstad,001-436-929-2288
20,Pasta,41,2025-03-17,306,Catering Service,North Keith,Non-Vegetarian,Snacks,"Evans, Wright and Mitchell",Catering Service,"73725 Anthony Way Apt. 971
West Pamela, OH 61366",North Keith,001-726-568-9224,,,,,,,,
21,Rice,38,2025-03-26,277,Catering Service,West Aliciabury,Vegan,Dinner,Ramos and Sons,Catering Service,"6378 Kendra Greens
East Jacob, IN 59852",West Aliciabury,5918690343,,,,,,,,
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,Flores-Wade,Grocery Store,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,263.0,800.0,Completed,2025-03-16 09:37:00,Anthony Garcia,Individual,Brownbury,+1-845-541-9687x513
22,Chicken,46,2025-03-21,892,Grocery Store,Russellfurt,Vegan,Snacks,Flores-Wade,Grocery Store,"43443 Campbell Highway
Ricetown, MA 95006",Russellfurt,525-492-4716,525.0,438.0,Completed,2025-03-15 04:20:00,Jane Davis,Individual,Lake Joshuaville,001-480-554-8487x778
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,726.0,446.0,Cancelled,2025-03-06 00:25:00,Eric Mays,NGO,Port Deborahbury,555-698-7496x465
23,Salad,43,2025-03-26,1,Supermarket,New Jessica,Vegan,Dinner,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,776.0,559.0,Cancelled,2025-03-02 00:29:00,Randy Martinez,Shelter,Brownville,001-788-451-1379x961
24,Bread,20,2025-03-30,897,Catering Service,Villastad,Non-Vegetarian,Lunch,Stephens-Braun,Catering Service,"657 Charles Streets
North Carolineberg, AR 77518",Villastad,001-744-282-3182,,,,,,,,
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,295.0,493.0,Pending,2025-03-13 18:39:00,Chelsea Powell,Charity,Lake Rachelburgh,001-527-059-4168x72504
25,Rice,48,2025-03-22,898,Restaurant,Medinatown,Vegan,Breakfast,Wilson Group,Restaurant,"Unit 6637 Box 3119
DPO AP 06435",Medinatown,4943539272,837.0,228.0,Cancelled,2025-03-12 14:13:00,Joanna Wilkins,Charity,Singletonview,(796)888-1488
26,Vegetables,34,2025-03-27,95,Supermarket,Christinaland,Vegan,Dinner,Orr Inc,Supermarket,"5940 Klein Junctions
Jenniferborough, PA 44116",Christinaland,+1-415-991-8966,,,,,,,,
27,Salad,12,2025-03-23,262,Supermarket,New Carol,Vegan,Breakfast,Bradford-Martinez,Supermarket,"366 Wheeler Fields
Harringtonchester, WY 86540",New Carol,199.451.0254,,,,,,,,
28,Chicken,5,2025-03-22,606,Grocery Store,North Nathan,Vegan,Dinner,"Freeman, Decker and Johnson",Grocery Store,"6294 Gregory Throughway Suite 517
West Marychester, NM 35832",North Nathan,290-849-5446x412,764.0,788.0,Completed,2025-03-16 04:52:00,Beth Phillips,NGO,Zacharyview,(293)383-2279x8386
29,Bread,18,2025-03-19,196,Restaurant,Bartonborough,Vegan,Lunch,Owens-Taylor,Restaurant,"553 Emily Mountains Suite 339
East Mary, MI 74272",Bartonborough,+1-977-169-9906x1607,450.0,554.0,Cancelled,2025-03-20 20:03:00,Margaret Mccullough,Charity,Ortizmouth,888-890-3956
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,697.0,132.0,Completed,2025-03-04 17:46:00,Katherine Gomez,Charity,South Jasonberg,(609)802-2108x3673
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,790.0,680.0,Completed,2025-03-05 13:01:00,James Lewis,NGO,Richardton,001-151-287-1850
30,Soup,4,2025-03-16,616,Restaurant,Clarkberg,Vegetarian,Dinner,Moore-Flowers,Restaurant,"57451 Davis Port Apt. 531
East John, CT 19104",Clarkberg,(256)326-8681x6129,863.0,16.0,Pending,2025-03-09 22:36:00,Elizabeth Lewis,NGO,Port Tara,500.386.3867x7565
31,Bread,42,2025-03-22,535,Grocery Store,Valdezborough,Non-Vegetarian,Snacks,Hill PLC,Grocery Store,"8470 Brandon Extension
North Rhondastad, AK 50332",Valdezborough,+1-157-982-5008x743,825.0,590.0,Pending,2025-03-12 07:28:00,Terry Fernandez,Shelter,Mooreburgh,506.052.7523x43392
32,Rice,27,2025-03-21,611,Supermarket,Port Kendraborough,Non-Vegetarian,Lunch,Williams-Manning,Supermarket,"99495 Cook Fork Apt. 475
North David, WA 68629",Port Kendraborough,001-050-248-0430x1092,,,,,,,,
33,Salad,9,2025-03-27,798,Grocery Store,North Amanda,Vegetarian,Breakfast,Jordan LLC,Grocery Store,"2673 Maria Knolls
Comptonborough, NY 52749",North Amanda,+1-073-137-5460,215.0,762.0,Cancelled,2025-03-08 11:37:00,Donna Chang,NGO,East Stevenborough,9564962501
34,Bread,3,2025-03-30,396,Catering Service,Heatherside,Vegan,Breakfast,Chase-Gross,Catering Service,"950 Nicole Burg Suite 178
Donnamouth, AL 08654",Heatherside,(041)493-1650,755.0,709.0,Completed,2025-03-15 03:13:00,Matthew Sanchez,Individual,New Stephanie,131.083.4622x013
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,176.0,276.0,Cancelled,2025-03-12 01:34:00,Scott Hunter,Individual,Greenton,074.305.5053x60975
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,647.0,654.0,Pending,2025-03-18 17:53:00,John Murray,Shelter,Fernandezberg,001-664-004-0117x5796
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,773.0,205.0,Pending,2025-03-12 10:01:00,Kimberly Wilkins,Charity,West Casey,3783162949
35,Rice,6,2025-03-23,108,Supermarket,East Austin,Vegan,Breakfast,Williams-Cox,Supermarket,"400 Ross Radial
Francomouth, MT 80264",East Austin,082.114.2329,774.0,479.0,Cancelled,2025-03-20 12:11:00,Karen Reeves MD,NGO,Lake Mitchellbury,365-174-3809
36,Rice,35,2025-03-20,1,Supermarket,New Jessica,Vegan,Breakfast,Gonzales-Cochran,Supermarket,"74347 Christopher Extensions
Andreamouth, OK 91839",New Jessica,+1-600-220-0480,715.0,668.0,Pending,2025-03-17 14:14:00,Maria Singh,NGO,Brandonhaven,+1-353-127-1876x477
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,53.0,449.0,Completed,2025-03-11 09:43:00,Mrs. Valerie Hartman,NGO,Port Jenniferborough,1271218776
37,Fish,19,2025-03-20,389,Grocery Store,Davidborough,Non-Vegetarian,Dinner,Hunt-Lee,Grocery Store,"1004 Michael Mission
East Kenneth, NY 07626",Davidborough,001-681-802-0601x91223,939.0,512.0,Pending,2025-03-08 15:55:00,Anne Stone,Shelter,Pittsville,(468)482-9531x7575
38,Bread,48,2025-03-22,440,Grocery Store,Elliottberg,Vegetarian,Snacks,Martinez-Graham,Grocery Store,"002 Jessica Pine Suite 278
Davidville, NE 33218",Elliottberg,001-974-692-9262x419,,,,,,,,
39,Bread,48,2025-03-22,758,Catering Service,Port Patrick,Non-Vegetarian,Breakfast,Todd Group,Catering Service,"Unit 6259 Box 3832
DPO AE 28167",Port Patrick,236.722.8623,537.0,259.0,Cancelled,2025-03-20 08:41:00,Aimee Stone,NGO,Barnesport,104-394-7041x83013
40,Fruits,12,2025-03-27,965,Restaurant,Port Bryce,Vegetarian,Breakfast,Oconnor Ltd,Restaurant,"49967 Victoria Union Suite 176
Watkinsport, NC 14235",Port Bryce,+1-484-031-6824x10667,195.0,294.0,Completed,2025-03-15 20:49:00,Cynthia Horton,NGO,Jamesstad,535.576.5970x774
41,Chicken,14,2025-03-27,450,Catering Service,Grahamside,Vegetarian,Dinner,Gibson and Sons,Catering Service,"0835 Franco Common
East Martha, SD 01753",Grahamside,(804)688-7617,928.0,945.0,Pending,2025-03-20 00:15:00,Alex Leon,Individual,Caitlynhaven,(667)114-0630x55873
42,Rice,50,2025-03-16,179,Supermarket,North Michelle,Vegan,Lunch,"Lucas, Bush and Miller",Supermarket,"4664 Debra Row Apt. 580
Lake Stephen, TX 87375",North Michelle,3334774489,,,,,,,,
43,Pasta,44,2025-03-22,29,Grocery Store,Patrickmouth,Vegan,Lunch,Andrews-Wiley,Grocery Store,"37741 Edward Green Apt. 840
Whiteport, WY 68558",Patrickmouth,+1-657-214-6013x08444,926.0,72.0,Cancelled,2025-03-06 12:37:00,Charles Davidson,Shelter,West Angelatown,+1-294-698-2957
44,Bread,39,2025-03-22,290,Supermarket,Bradleyport,Vegan,Snacks,"Webb, Phillips and Garcia",Supermarket,"09931 Snyder Station Apt. 218
Ritterborough, IL 82418",Bradleyport,001-401-943-3400,,,,,,,,
45,Fish,17,2025-03-24,874,Catering Service,Priceland,Non-Vegetarian,Lunch,Long-Alexander,Catering Service,"4601 Samuel Ranch Suite 442
New Ronald, SC 13631",Priceland,328-638-0829x010,397.0,435.0,Pending,2025-03-04 14:58:00,Whitney Evans,Shelter,Martinezside,001-355-911-9659
46,Pasta,25,2025-03-28,576,Catering Service,East Emilyburgh,Vegetarian,Breakfast,Townsend Inc,Catering Service,"39437 Alejandro Path Apt. 765
Olsonview, MS 29423",East Emilyburgh,001-820-820-2213x469,137.0,548.0,Completed,2025-03-06 03:22:00,Gary Andrews,NGO,Gonzalezstad,+1-115-368-3340
47,Salad,3,2025-03-17,420,Catering Service,Anthonyton,Vegan,Snacks,Snyder Ltd,Catering Service,"04976 Harris River Apt. 880
Josephland, CT 42183",Anthonyton,805-601-1161x98115,727.0,548.0,Cancelled,2025-03-17 04:10:00,Gary Andrews,NGO,Gonzalezstad,+1-115-368-3340
48,Rice,30,2025-03-16,150,Grocery Store,North Jamesberg,Vegan,Breakfast,"Powers, Clark and Snyder",Grocery Store,"8675 Reed Crest Suite 904
West Wendyborough, ID 45874",North Jamesberg,531-341-5220x02539,,,,,,,,
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,325.0,586.0,Completed,2025-03-11 14:05:00,Amy Barker,Shelter,North Nathanville,001-806-821-3010x5044
49,Fish,41,2025-03-17,700,Supermarket,Morriston,Non-Vegetarian,Dinner,Webster and Sons,Supermarket,"9427 Jones Ridges Suite 824
South Brendan, CT 19533",Morriston,161.555.4218x17236,665.0,314.0,Pending,2025-03-08 19:49:00,Kelsey Smith,Shelter,Haleymouth,(764)989-3036x77897
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,Roy-Hancock,Supermarket,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,396.0,436.0,Completed,2025-03-16 23:56:00,Jacqueline Turner,NGO,Robertsport,937.841.8251
50,Salad,28,2025-03-23,514,Supermarket,Maxwellburgh,Vegetarian,Dinner,Roy-Hancock,Supermarket,"203 Dawn Ridge
Loganshire, SC 01665",Maxwellburgh,(186)046-9157,534.0,287.0,Cancelled,2025-03-10 15:47:00,Jennifer Johnson,Charity,Burnettton,7970971389
51,Dairy,14,2025-03-27,828,Catering Service,Torresshire,Vegetarian,Snacks,Campbell LLC,Catering Service,"9892 Christopher Park Suite 948
Davidfurt, TN 47444",Torresshire,408.792.0799,,,,,,,,
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"Gutierrez, Anthony and Shannon",Grocery Store,"6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,339.0,497.0,Completed,2025-03-06 23:14:00,Miss Jamie Gonzalez DDS,Charity,Proctorville,(011)132-1619x1390
52,Vegetables,23,2025-03-29,460,Grocery Store,Lake Justin,Non-Vegetarian,Snacks,"Gutierrez, Anthony and Shannon",Grocery Store,"6787 Jamie Fords Suite 103
Wademouth, IL 18159",Lake Justin,2924416283,554.0,126.0,Completed,2025-03-04 07:19:00,Heather Brown,NGO,North Lori,(836)116-1365x8718
53,Fruits,13,2025-03-16,174,Grocery Store,North Carolfurt,Vegetarian,Lunch,"Gillespie, Foster and Boyd",Grocery Store,"Unit 1730 Box 5566
DPO AA 26190",North Carolfurt,001-862-502-0221x7258,,,,,,,,
54,Soup,15,2025-03-17,368,Grocery Store,North Lindseychester,Non-Vegetarian,Snacks,Smith-Villegas,Grocery Store,"5916 Craig Courts
New Kevinfurt, MS 57479",North Lindseychester,001-467-901-7553,,,,,,,,
55,Vegetables,19,2025-03-17,967,Grocery Store,Coleburgh,Vegetarian,Breakfast,Miller Inc,Grocery Store,"97290 Stephanie Mountains Apt. 247
Lindseyburgh, WY 63235",Coleburgh,+1-926-386-9945x8729,648.0,1000.0,Completed,2025-03-08 11:56:00,April Miller,Shelter,Shelbychester,894-873-2652x23999
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,119.0,75.0,Cancelled,2025-03-18 15:38:00,Nicholas Smith,Charity,Manningtown,+1-605-970-1115
56,Vegetables,9,2025-03-23,125,Supermarket,Lake April,Non-Vegetarian,Lunch,Brown-Grimes,Supermarket,"71570 Jason Spurs Apt. 697
Melissaton, ID 56125",Lake April,492-029-0285x3479,678.0,139.0,Pending,2025-03-10 00:33:00,Charles Martin,NGO,New Christopher,(586)009-0817x964
57,Chicken,23,2025-03-17,977,Restaurant,South Jessicachester,Vegan,Dinner,Anderson and Sons,Restaurant,"1110 Martin Square Suite 965
West Anthony, VT 13086",South Jessicachester,759-596-1190x656,,,,,,,,
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,27.0,487.0,Completed,2025-03-17 05:07:00,Micheal Peterson,NGO,West Jeffreyfurt,094.330.4095
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,39.0,923.0,Pending,2025-03-12 09:57:00,Victor Diaz,Shelter,Darinview,561.923.0470x922
58,Pasta,39,2025-03-28,270,Catering Service,Cunninghambury,Vegan,Lunch,Harrison-Wilson,Catering Service,"904 Christopher Station
Lake Patriciaborough, AR 56947",Cunninghambury,269.475.2515,576.0,341.0,Completed,2025-03-17 02:11:00,Anna Buckley,Individual,Murphyfort,421.281.9097x013
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,Carter-Jones,Restaurant,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,530.0,543.0,Completed,2025-03-07 03:12:00,Brenda Green,Charity,Jacobmouth,001-344-515-4579x388
59,Vegetables,38,2025-03-22,251,Restaurant,East Terrancemouth,Vegan,Snacks,Carter-Jones,Restaurant,"26720 Candace Inlet Suite 052
Hendersonton, MA 30678",East Terrancemouth,892-412-5796,569.0,401.0,Pending,2025-03-02 15:48:00,Leslie Acevedo,Charity,Lake Matthew,(028)737-3556x89803
60,Pasta,49,2025-03-28,153,Restaurant,Hawkinsmouth,Non-Vegetarian,Breakfast,Wu LLC,Restaurant,"439 Oscar Mountains Suite 426
Lake Markmouth, MI 84788",Hawkinsmouth,350.191.5139x454,,,,,,,,
61,Fruits,33,2025-03-22,243,Catering Service,West Catherine,Vegetarian,Lunch,Davis-Hurley,Catering Service,"687 Sparks Forks
East Patricia, NC 25546",West Catherine,(172)389-0239x87614,4.0,933.0,Cancelled,2025-03-04 09:08:00,Jodi Lee,NGO,West Paulfort,3517962649
62,Rice,21,2025-03-21,520,Catering Service,Port Andre,Non-Vegetarian,Breakfast,"Jackson, Miller and Porter",Catering Service,"8021 Erin Trafficway
New Jamesport, TX 78396",Port Andre,257-230-5531,,,,,,,,
63,Salad,6,2025-03-20,335,Grocery Store,North Gary,Vegetarian,Dinner,"Newman, Pearson and Mccarthy",Grocery Store,"4719 Darryl Isle
New Rebecca, GA 13003",North Gary,905.549.7068,288.0,964.0,Completed,2025-03-19 02:29:00,Donald Moore,Individual,Davisfort,001-742-164-8768x9906
64,Soup,41,2025-03-26,678,Grocery Store,Lake Travis,Non-Vegetarian,Dinner,Ruiz-Oneal,Grocery Store,"934 Kelsey Shoals
Tiffanyburgh, IL 56636",Lake Travis,(569)363-0118,539.0,119.0,Cancelled,2025-03-08 09:41:00,Jasmine Robertson,Individual,Deanview,001-388-078-6769x4237
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole LLC,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,77.0,324.0,Completed,2025-03-04 22:57:00,Kristine Martin,NGO,Thompsonhaven,444.954.4127x16438
65,Fruits,45,2025-03-26,602,Grocery Store,North Destiny,Non-Vegetarian,Breakfast,Cole LLC,Grocery Store,"USS Zhang
FPO AP 50279",North Destiny,001-078-379-8075x2377,477.0,301.0,Cancelled,2025-03-11 13:18:00,Kristina Simpson,NGO,Melissaport,3752453906
66,Fish,6,2025-03-22,577,Catering Service,Lake Donna,Non-Vegetarian,Breakfast,Taylor-Matthews,Catering Service,"073 Cathy Trail Apt. 793
Nelsonfurt, NY 98042",Lake Donna,864-725-3991x8612,852.0,700.0,Cancelled,2025-03-18 10:02:00,Kimberly Duncan,Shelter,West Monica,001-851-158-2436x740
67,Rice,50,2025-03-24,455,Catering Service,Madisonfort,Vegan,Breakfast,Rios Group,Catering Service,"58472 Snyder Squares
Port Zacharyton, CT 67515",Madisonfort,003-727-0894x163,163.0,302.0,Cancelled,2025-03-02 09:04:00,Daniel Moore,Charity,Port Richard,176-809-8232x828
68,Rice,15,2025-03-25,113,Catering Service,East Elizabethberg,Vegetarian,Snacks,"Anderson, Nicholson and Bruce",Catering Service,"8546 James Fields Apt. 534
Hallborough, AL 55990",East Elizabethberg,+1-274-720-0033x1795,,,,,,,,
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,Small Ltd,Catering Service,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,229.0,407.0,Completed,2025-03-19 23:40:00,Arthur Thomas,Charity,Clarkhaven,001-797-615-8560x7849
69,Bread,47,2025-03-16,504,Catering Service,Gaineschester,Vegetarian,Snacks,Small Ltd,Catering Service,"85125 Deanna Garden
New Sherry, IL 97694",Gaineschester,1943075475,243.0,98.0,Cancelled,2025-03-13 02:42:00,Brian Cowan,Individual,Henryhaven,(234)142-1265x21005
70,Rice,7,2025-03-16,313,Supermarket,Boylechester,Vegetarian,Lunch,Maldonado-Davis,Supermarket,"51547 Desiree Cape Suite 175
Port Benjaminfurt, RI 95290",Boylechester,9538261424,845.0,42.0,Pending,2025-03-09 11:24:00,Maria Jacobs,NGO,Port Dawntown,(225)019-8954
71,Fish,45,2025-03-19,750,Supermarket,Michaelton,Vegetarian,Lunch,Barnes and Sons,Supermarket,"41662 John Shoals Apt. 246
West Shannon, NM 07777",Michaelton,(547)040-4732,851.0,164.0,Completed,2025-03-08 16:08:00,Aaron Scott,Charity,Heatherfurt,(075)863-3168x28937
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,374.0,696.0,Pending,2025-03-10 14:14:00,Kellie Hart,Charity,Changview,+1-235-589-9126x33112
72,Dairy,11,2025-03-24,293,Catering Service,Joneshaven,Vegan,Dinner,Ibarra and Sons,Catering Service,"Unit 2034 Box 3584
DPO AE 66830",Joneshaven,855-385-3050x223,607.0,397.0,Cancelled,2025-03-12 00:38:00,Mr. Robert Rivera II,Individual,Bergerport,+1-470-154-5478x4289
